City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,noosa heads,-26.3833,153.15,24.63,75,12,4.42,AU,1698269502
150,oleksandrivka,48.9634,32.2349,13.07,97,95,3.66,UA,1698269779
151,jerome,42.7241,-114.5186,7.05,88,100,1.54,US,1698269780
152,port lincoln,-34.7333,135.8667,13.0,53,6,6.43,AU,1698269781
153,kirakira,-10.4544,161.9205,28.62,71,100,2.09,SB,1698269782
154,waajid,3.8096,43.2463,24.92,78,87,5.04,SO,1698269782
155,vorgashor,67.5833,63.95,-17.93,100,100,1.1,RU,1698269783
156,ipilan,8.8431,117.9033,26.32,85,88,0.88,PH,1698269784
157,moyale,3.5167,39.0584,20.83,78,73,2.85,KE,1698269785
158,trairi,-3.2778,-39.2689,25.52,78,5,5.33,BR,1698269662
159,hilo,19.7297,-155.09,27.85,80,75,3.6,US,1698269590
160,sao miguel do araguaia,-13.275,-50.1628,31.1,42,70,2.58,BR,1698269624
161,hammerfest,70.6634,23.6821,-3.75,80,40,1.03,NO,1698269735
162,hotan,37.0997,79.9269,11.28,24,0,2.06,CN,1698269790
163,enewetak,11.3474,162.3373,28.26,79,100,4.01,MH,1698269791
164,fada,9.5667,8.3,21.36,76,95,0.75,NG,1698269792
165,hamilton,39.1834,-84.5333,24.35,59,75,4.63,US,1698269793
166,petropavlovsk-kamchatsky,53.0452,158.6483,4.14,78,40,2.68,RU,1698269794
167,colby,39.3958,-101.0524,14.03,100,100,2.57,US,1698269794
168,general levalle,-34.0147,-63.9241,19.24,63,98,2.86,AR,1698269796
169,neelankarai,12.9455,80.2575,28.35,83,20,1.03,IN,1698269797
170,guerrero negro,27.9769,-114.0611,21.93,58,0,6.31,MX,1698269798
171,tortoli,39.9256,9.6572,19.9,73,20,7.2,IT,1698269799
172,al artawiyah,26.5053,45.3444,20.75,56,41,7.46,SA,1698269799
173,yaren,-0.5472,166.916,28.96,74,27,4.8,NR,1698269574
174,liberal,37.0431,-100.921,25.58,47,75,7.72,US,1698269616
175,la passe,45.5549,-0.8967,17.79,88,100,9.6,FR,1698269802
176,campbell river,50.0163,-125.2446,11.74,37,0,5.66,CA,1698269721
177,sopela,43.3789,-2.9831,21.88,59,20,6.69,ES,1698269804
178,tralee,52.2704,-9.7026,9.11,95,46,2.33,IE,1698269805
179,chonchi,-42.6128,-73.8092,15.56,65,81,1.94,CL,1698269806
180,isafjordur,66.0755,-23.124,2.76,89,94,3.13,IS,1698269807
181,aykhal,66.0,111.5,-15.51,100,97,3.74,RU,1698269561
182,ketchikan,55.3422,-131.6461,8.26,29,0,6.17,US,1698269809
183,sambava,-14.2667,50.1667,24.17,88,100,1.52,MG,1698269810
184,anadyr,64.75,177.4833,3.28,100,100,10.0,RU,1698269810
185,afaahiti,-17.75,-149.2833,25.93,77,100,2.24,PF,1698269811
186,hohhot,40.8106,111.6522,1.16,55,0,1.0,CN,1698269812
187,kapuskasing,49.4169,-82.4331,3.05,93,100,2.57,CA,1698269813
188,port douglas,-16.4833,145.4667,24.58,65,37,1.81,AU,1698269814
189,la puebla de montalban,39.863,-4.3592,16.83,86,100,4.76,ES,1698269814
190,osakarovka,50.565,72.5692,9.32,92,100,9.68,KZ,1698269815
191,kudahuvadhoo,2.6708,72.8944,27.55,78,45,5.6,MV,1698269816
192,pandan,14.0453,124.1694,26.12,80,99,2.38,PH,1698269817
193,alaghsas,17.0187,8.0168,27.45,11,31,4.19,NE,1698269818
194,palikir - national government center,6.9248,158.1611,28.47,94,40,1.54,FM,1698269819
195,smithers,54.7804,-127.1743,-1.82,50,20,0.0,CA,1698269820
196,arraial do cabo,-22.9661,-42.0278,22.92,88,75,3.09,BR,1698269547
197,portstewart,55.1813,-6.714,10.18,85,100,4.66,GB,1698269821
198,katsuura,35.1333,140.3,16.75,73,0,4.59,JP,1698269822
199,acarau,-2.8856,-40.12,25.65,80,20,7.13,BR,1698269823
200,kalmunai,7.4167,81.8167,25.24,85,23,1.18,LK,1698269824
201,laguna,38.421,-121.4238,20.59,50,100,2.06,US,1698269825
202,serdar,38.9764,56.2757,18.24,71,7,1.13,TM,1698269826
